0.035	0.000000
0.105	0.000000
0.175	0.000000
0.245	0.000000
0.315	0.000000
0.385	0.000000
0.455	0.000000
0.525	0.000000
0.595	0.000000
0.665	0.000000
0.735	0.000000
0.805	0.000000
0.875	0.000000
0.945	0.012944
1.015	0.093739
1.085	0.173581
1.155	0.168247
1.225	0.149471
1.295	0.121916
1.365	0.107211
1.435	0.099257
1.505	0.086136
1.575	0.075061
1.645	0.060215
1.715	0.055588
1.785	0.049134
1.855	15.166927
1.925	0.051358
1.995	0.052464
2.065	0.051541
2.135	0.055432
2.205	0.053901
2.275	0.055957
2.345	0.055281
2.415	0.062451
2.485	0.073911
2.555	10.764852
2.625	0.102684
2.695	0.117166
2.765	0.138896
2.835	0.144318
2.905	0.139886
2.975	0.138099
3.045	0.126269
3.115	0.107360
3.185	0.086748
3.255	0.072117
3.325	0.060549
3.395	0.061882
3.465	0.062815
3.535	0.065317
3.605	0.086996
3.675	7.720763
3.745	0.090966
3.815	0.088289
3.885	0.087315
3.955	0.085164
4.025	0.085406
4.095	13.410999
4.165	0.079129
4.235	0.074099
4.305	0.079558
4.375	0.087119
4.445	0.096897
4.515	0.102852
4.585	0.115391
4.655	0.118505
4.725	0.116028
4.795	0.102421
4.865	0.092757
4.935	0.087940
5.005	0.088109
5.075	0.102485
5.145	5.413985
5.215	0.107738
5.285	0.106955
5.355	0.104179
5.425	0.103044
5.495	5.209545
5.565	0.096532
5.635	0.077777
5.705	0.068677
5.775	9.508263
5.845	0.058931
5.915	0.059513
5.985	0.065801
6.055	0.072528
6.125	0.080305
6.195	0.098613
6.265	0.106136
6.335	0.118440
6.405	0.121516
6.475	0.125022
6.545	0.119707
6.615	8.363144
6.685	0.118190
6.755	0.115257
6.825	0.114842
6.895	0.106031
6.965	0.102250
