0.000	0.000
0.070	0.000
0.140	0.000
0.210	0.000
0.280	0.000
0.350	0.000
0.420	0.000
0.490	0.000
0.560	0.000
0.630	0.000
0.700	0.000
0.770	0.000
0.840	0.000
0.910	0.000
0.980	0.000
1.050	0.198
1.120	0.247
1.190	0.000
1.260	0.000
1.330	0.000
1.400	0.000
1.470	0.000
1.540	0.000
1.610	0.000
1.680	0.000
1.750	0.000
1.820	3.358
1.890	0.000
1.960	0.000
2.030	0.074
2.100	0.000
2.170	0.049
2.240	0.000
2.310	0.000
2.380	0.000
2.450	0.000
2.520	3.160
2.590	0.346
2.660	0.049
2.730	0.000
2.800	0.346
2.870	0.025
2.940	0.148
3.010	0.049
3.080	0.346
3.150	0.049
3.220	0.000
3.290	0.000
3.360	0.074
3.430	0.000
3.500	0.049
3.570	0.000
3.640	3.778
3.710	0.049
3.780	0.000
3.850	0.025
3.920	0.025
3.990	0.123
4.060	6.444
4.130	0.000
4.200	0.000
4.270	0.000
4.340	0.494
4.410	0.000
4.480	0.049
4.550	0.395
4.620	0.049
4.690	0.000
4.760	0.148
4.830	0.025
4.900	0.346
4.970	0.025
5.040	0.395
5.110	3.185
5.180	0.346
5.250	0.000
5.320	0.000
5.390	0.099
5.460	3.679
5.530	0.346
5.600	0.049
5.670	0.049
5.740	6.272
5.810	0.025
5.880	0.099
5.950	0.074
6.020	0.049
6.090	0.099
6.160	0.395
6.230	0.346
6.300	0.074
6.370	0.395
6.440	0.049
6.510	0.025
6.580	6.543
6.650	0.593
6.720	0.173
6.790	0.370
6.860	0.123
6.930	0.000
