0.108429	0.705958
0.000000	1.825742
0.000000	3.651484
0.000000	5.477226
0.000000	7.302967
0.000000	9.128709
0.000000	10.954451
0.000000	12.780193
0.000000	14.605935
0.920309	15.264657
1.825742	1.825742
1.825742	3.651484
1.825742	5.477226
1.825742	7.302967
1.825742	9.128709
1.825742	10.954451
1.825742	12.780193
1.825742	14.605935
2.739531	1.168870
3.651484	1.825742
3.651484	3.651484
3.651484	5.477226
3.651484	7.302967
3.651484	9.128709
3.651484	10.954451
3.651484	12.780193
3.651484	14.605935
4.563577	15.245509
5.477226	1.825742
5.477226	3.651484
5.477226	5.477226
5.477226	7.302967
5.477226	9.128709
5.477226	10.954451
5.477226	12.780193
5.477226	14.605935
8.213975	15.263233
7.302967	1.825742
7.302967	3.651484
7.302967	5.477226
7.302967	7.302967
7.302967	9.128709
7.302967	10.954451
7.302967	12.780193
7.302967	14.605935
10.856921	15.723355
9.128709	1.825742
9.128709	3.651484
9.128709	5.477226
9.128709	7.302967
9.128709	9.128709
9.128709	10.954451
9.128709	12.780193
9.128709	14.605935
11.867518	15.247411
10.954451	1.825742
10.954451	3.651484
10.954451	5.477226
10.954451	7.302967
10.954451	9.128709
10.954451	10.954451
10.954451	12.780193
10.954451	14.605935
13.698311	1.183650
12.780193	1.825742
12.780193	3.651484
12.780193	5.477226
12.780193	7.302967
12.780193	9.128709
12.780193	10.954451
12.780193	12.780193
12.780193	14.605935
15.522884	1.178991
14.605935	1.825742
14.605935	3.651484
14.605935	5.477226
14.605935	7.302967
14.605935	9.128709
14.605935	10.954451
14.605935	12.780193
14.605935	14.605935
